condition,method,MCC,Accuracy,Precision,Sensitivity,Specificity,NPV,F1_Score,FPR,TP,FP,FN
PaySim / stratified,FedAvg+DP,0.011838324826422946,98.6970125433979,2.0820760410379577,1.6159250585479714,99.42787727482693,99.26057218089842,1.819620253164533,0.5721227251730472,69.0,3245.0,4201.0
PaySim / stratified,DB-BOA-ADTCN,-0.004136727184068161,10.618140329264193,0.7353112817759516,88.52459016393236,10.031629835715266,99.14616296089757,1.458507769061886,89.9683701642847,3780.0,510288.0,490.0
AMLSim / stratified,FedAvg,-0.010984207864727894,95.42178996170102,0.0,0.0,95.67732807841924,99.72088369276113,0.0,4.322671921580505,0.0,1711.0,106.0
AMLSim / stratified,FedAvg+Krum,-0.013645473879407266,90.05744809514188,0.052029136316335794,1.8867924528284086,90.29356778333563,99.70985381095832,0.10126582278480756,9.706432216664115,2.0,3842.0,104.0
AMLSim / stratified,FedAvg+DP,0.0011533286274988438,13.215581535980615,0.26938562697332136,87.735849056521,13.016017381638084,99.74830590512876,0.5371220653209722,86.98398261836165,93.0,34430.0,13.0
AMLSim / stratified,DB-BOA-ADTCN,-0.004797886937980398,4.883088087079205,0.2616140795941011,93.39622641500623,4.646051235410023,99.62080173347239,0.5217666280172855,95.35394876458972,99.0,37743.0,7.0
AMLSim / native banks,FedAvg,0.15763208960879654,94.29298528522452,3.5299182092120733,77.35849056596476,94.3383356070939,99.93576876756296,6.751749691230681,5.661664392905852,82.0,2241.0,24.0
AMLSim / native banks,FedAvg+Krum,0.14890892680118387,92.56198347107414,2.9431216931215958,83.96226415086419,92.58501338992447,99.95363299149001,5.686900958466272,7.4149866100752675,89.0,2935.0,17.0
AMLSim / native banks,FedAvg+DP,0.0068818634038536,61.172142713162515,0.3116883116883097,45.28301886788181,61.21469354757197,99.76119894598115,0.6191151812201688,38.78530645242777,48.0,15352.0,58.0
AMLSim / native banks,DB-BOA-ADTCN,-0.0022816105941278787,99.53890344688546,0.0,0.0,99.80546713152417,99.73239756633232,0.0,0.1945328684755692,0.0,77.0,106.0
